ID	CLASS	OWNER	JUSTIFICATION	FLAG
C-8	MEASURED	ASSEMBLED (order-n* mechanics standard; restricted-class n*>d finding original)	general splitting law inferred from numerical exponents on three small carriers (T-14)
C-9	THEOREM	BORROWED (standard *-algebra/commutant fact — the Frigerio / Blume-Kohout-Ng-Poulin-Viola fixed-point-algebra framing)	one-line operator-algebra lemma valid for all instances
C-10	THEOREM	ASSEMBLED (compression/commutant machinery is standard information-preserving-structures theory [BKNPV]; the record-on-E_lambda iff formulation is original)	stated and used as an iff theorem; 6/6 brute-force check is corroboration
C-11	THEOREM	ORIGINAL	an iff with corollary (odd dimension forbids writers) following from trace balance — elementary but proved, general over dimensions
C-12	THEOREM	ORIGINAL	the repaired converse is an iff over the clause framework; 210/210 exhaustive enumeration corroborates the proof
C-13	THEOREM	ORIGINAL	the corrected P-3 is a general statement ((iv)+(v) force no-single-contractible-region) and the refutation of (v') is by the program's own Thm D plus an explicit weight-3 witness
C-15	DEFINED	ORIGINAL	a statement about which clauses are carrier-free plus a code-enforcement decision — methodological, not a truth-apt physics claim	STATUS: DEFINED-vocabulary row at FORMAL; GROUNDED "established ... proof" mismatches a convention now enforced in code
C-16	THEOREM	ORIGINAL	the balance lemma is an equivalence (clause (iv) under DEF-A <=> per-eigenspace trace zero) with proof and nine-spectrum verification plus proved-bound control
C-17	EXACT	ORIGINAL	commutant dimensions computed exactly on three finite carriers; the general reading is clause (ii) itself
C-18	MEASURED	ASSEMBLED (weight<d triviality is Knill-Laflamme; the chi discrimination 0/0.217/0.908 is original)	floating-point chi values on small carriers ground the general gauge+locality exclusion
C-19	MEASURED	ORIGINAL	composition/non-interference inferred from chi values (0.908/0.000, drift ~1e-16) on two small carriers
C-20	EXACT	ORIGINAL	admissible-flipper counts (16/1152/3120/0) are exact enumerations on specific tori; the fraction-threshold reading is inferred from two lattice sizes	minor: general "small fraction" law inferred from two sizes
C-21	MEASURED	ORIGINAL	a 28-setting parameter sweep of chi with noise floors — a numerical invariance measurement grounding a general no-free-parameter claim
C-22	EXACT	ORIGINAL	5 explicit structureless finite systems with verified writers — exact counterexamples establishing the no-narrower-condition claim
C-23	MEASURED	ORIGINAL	minimum-weight and curvature values (4.000 vs 0.000) computed on one carrier; "minimality selects the flat connection" is the inferred general claim
C-24	EXACT	BORROWED (Pauli/stabiliser algebra [Gottesman] — products of X-type logicals commute identically)	exact zeros across four codes; the underlying fact is an algebraic identity	D-10-shaped: "NECESSARILY" is warranted by a check that could not have failed — commuting X-products is an identity
C-25	MEASURED	ORIGINAL	selector comparison across norms with an analytic per-2-cycle minimum pi/sqrt(2) confirmed numerically; the every-selector claim is inferred from the tested selectors
C-26	THEOREM	ORIGINAL	a general argument from clauses (iii) and (iv) — degeneracy frees admissibility, trace balance equalises blocks — establishing flat-writer availability; scope-limited to writers by its own text
C-27	MEASURED	ORIGINAL	independence of curvature and record content measured on the toric carrier across flux sectors (holonomies 1.00000); coefficient-zero is this carrier's number
C-28	EXACT	BORROWED (standard Z2 lattice-gauge closure — product of all plaquettes is the identity [Wegner/Wilson]; the Bianchi reading per H-9 is the program's framing)	||prod B_p - I|| = 0 exactly, a property of the incidence structure as the row itself says
C-29	THEOREM	BORROWED (elementary group theory / Kitaev quantum-double flux conjugation — abelian conjugation is the identity)	valid for every abelian carrier; row already rescoped to fluxes-not-records by AUDIT 2
C-30	EXACT	BORROWED (Kitaev quantum double D(S_3) — non-abelian flux transport is standard anyon theory)	exact enumeration counts (18/36, 54/216) on one finite group; row itself rescopes to group elements, and notes the carrier has no records
C-31	THEOREM	BORROWED (elementary group theory — closure at 1/|G| and last-element determination hold for any group)	the row's own point: both properties follow from being a group, confirmed identically on the abelian control
C-32	THEOREM	ASSEMBLED (conjugacy-class mixing arithmetic is standard character/Markov theory; the derivation-plus-8/8-match assembly and the wrong-density-variable conclusion are original)	the mixing limit is derived, hence general, and matched exactly at orders 2-120
C-33	THEOREM	BORROWED (elementary group theory — a conjugacy class generates the subgroup it generates)	general statement, instanced on S_4/A_4; rescoped to group elements by the row itself
C-34	EXACT	ASSEMBLED (the symplectic intersection pairing of toric logicals is standard homology [Kitaev]; the C-29-narrowing observation is original)	non-degenerate pairing matrices computed exactly at every lattice size tested
C-35	MEASURED	ORIGINAL	the no-density-law conclusion is inferred from crossing-number invariance under eightfold growth and a falling interaction fraction — numerical evidence for a general negative
C-36	MEASURED	BORROWED (Holevo — the row's own concession: "the Holevo bound, conventional physics correctly applied, NOT a discovery of this program")	chi-per-record values across site dimensions bounded by site bits; classification must follow the row's concession
C-38	MEASURED	ORIGINAL	site-blindness of the pairing measured (ratios exactly 1.000000 vs suppression) on one carrier; generality inferred
C-39	MEASURED	ORIGINAL	crowded/spread ratio difference ~0.33 stable over a 3x coupling range — a numerical modulation claim on small carriers
C-40	EXACT	ORIGINAL	a specific finite carrier's multiplicities [8,13,15] computed and a parity lemma applied — an exact no-records verdict for this object, with control
C-41	THEOREM	ORIGINAL	an iff over all D(G) with the parity argument supplied (R^2=I forces per-eigenspace even dimension; |G|^E parity) and verified on five groups including both discriminating directions
C-42	EXACT	ORIGINAL	a specific finite carrier (D_4, dim 64) computed to have all-even multiplicities and records — true of it exactly
C-43	MEASURED	ORIGINAL	40/40 vs 0/40 with commutator magnitudes on D(D_4) — numerical transport experiment, already rescoped by O-36 inside the row
C-44	EXACT	ORIGINAL	explicit counterexample computed: Tr(P_E R) = [6,0,-6] on D(D_4) despite even multiplicities — exact on this object, validly killing the automatic reading
G-3	DEFINED	BORROWED (ADM/Dirac constraint formulation of GR is the cited warrant)	a doctrinal reading ("Gamma's role is ALLOW at every level") resting on how GR is formulated, not a computation or proof of the program's	STATUS: DEFINED-vocabulary row at FORMAL; GROUNDED "established about the five clauses" mismatches a claim about Einstein's equations
G-4	EXACT	ORIGINAL	the constraint algebra Z2^(NV-1), abelian, structure constants exactly zero — computed exactly on finite carriers	ITEM is phrased as a question; the claim lives only in EVIDENCE — row text should carry the answer
G-5	THEOREM	ASSEMBLED (H_1 and the intersection pairing are standard objects [Kitaev toric realisation]; the R1-R3 candidacy assembly is original)	satisfaction of R1-R3 is warranted by written Thms A, B, C; "CANDIDATE" scoping is the row's own
G-8	EXACT	ORIGINAL	boundary-product identity residual 0 exactly, support 4*sqrt(|R|) exactly, in all 14 rows — exact computations on specific finite lattices
G-9	EXACT	BORROWED (Kitaev — toric-code record space = Z_1/B_1 is the standard homological identification)	match rate 1.0 with dims computed exactly at three areas; a standard fact verified in-program
G-10	EXACT	ASSEMBLED (Z2 gauge degeneracy 2^dim H_1 for a complex is standard F_2 homology [Wegner]; the off-manifold carriers and the 2-chi failure demonstration are original)	exact degeneracy counts on 11 specific carriers, 6 self-checks
G-13	THEOREM	BORROWED (universal coefficients — the perfect pairing over a field is standard algebraic topology; the erratum correctly re-attributes)	a general theorem replacing the too-strong Poincare-duality attribution; Thm B's result stands on it
G-14	DEFINED	ORIGINAL	a role-assignment/consolidation ("Gamma is a requirement on EM's complex") — interpretive framing of proved parts, not itself provable	STATUS: DEFINED-vocabulary row at FORMAL
G-15	DEFINED	ORIGINAL	an explicit restatement of the condition in clause (v)'s terms plus an import-audit decision to drop the growth requirement — definitional	STATUS: DEFINED-vocabulary row at FORMAL
G-16	MEASURED	ORIGINAL	the compression criterion is validated on three carriers and 31/31 cycles after failing its fitted set (per D-11) — an empirically validated general criterion, not a written proof
D-1	DEFINED	ORIGINAL	a methodological prohibition (no classical measure as criterion) — cannot be true or false	STATUS: doctrine at FORMAL; GROUNDED "established ... definition of proof" is a category mismatch for a rule
D-2	DEFINED	ORIGINAL	a naming/inference discipline — doctrine, not a claim	STATUS: doctrine at FORMAL
D-3	DEFINED	ORIGINAL	a diagnosis-shaped maxim about rescues and imports — doctrine	STATUS: doctrine at FORMAL
D-4	DEFINED	ORIGINAL	the allow/require type discipline, extended to the clauses — explicitly states clauses are not true or false, i.e. self-describes as a convention	STATUS: doctrine at FORMAL — and by this row's own logic "established under the definition of proof" cannot apply to it
D-5	DEFINED	ORIGINAL	a prohibition with a TELL (no local EM referent at record level), resting on A-EM4's exact results but registered as a rule	STATUS: doctrine at FORMAL
D-6	DEFINED	ASSEMBLED (unravelling non-uniqueness at fixed rho is standard quantum-trajectory theory; the void-verdict rule is original)	a warrant rule about the ensemble instrument — methodological	STATUS: doctrine at FORMAL
D-7	DEFINED	ORIGINAL	a process rule (every uncleared assumption gets a row) — pure procedure	STATUS: doctrine at FORMAL
D-8	DEFINED	ORIGINAL	a check-validity rule with TELLs — methodology	STATUS: doctrine at FORMAL
D-9	DEFINED	ORIGINAL	a framing rule (mechanism, never external ranking) — doctrine	STATUS: doctrine at FORMAL
D-10	DEFINED	ORIGINAL	the tautology-detection rule (no failing branch = instrument check) — doctrine	STATUS: doctrine at FORMAL
D-11	DEFINED	ORIGINAL	the out-of-fitted-set validation rule — doctrine	STATUS: doctrine at FORMAL
D-12	DEFINED	ORIGINAL	a carrier-identity rule with TELL (check the stabiliser group), resting on T-8's exact invariance check but registered as procedure	STATUS: doctrine at FORMAL
D-13	DEFINED	ORIGINAL	a naming decision (alpha is a magnitude, not the fine structure constant) — explicitly an anti-import convention	STATUS: doctrine at FORMAL
D-14	DEFINED	ORIGINAL	the zero-of-the-named-object rule — doctrine	STATUS: doctrine at FORMAL
D-15	DEFINED	ORIGINAL	the same-table control rule — doctrine	STATUS: doctrine at FORMAL
D-16	DEFINED	ORIGINAL	the spread-control normalisation rule — doctrine born of the O-33a erratum	STATUS: doctrine at FORMAL
D-17	DEFINED	ORIGINAL	the vary-the-venue-scale rule — doctrine	STATUS: doctrine at FORMAL
D-18	DEFINED	ORIGINAL	a vocabulary separation (record = logical operator, flux = excitation) plus a checking procedure — definitional	STATUS: doctrine at FORMAL
D-19	DEFINED	ORIGINAL	a representational rule (compute signs over the integers, F_2 cannot pose the question) — the mathematical observation is trivial, the row is the rule	STATUS: doctrine at FORMAL
D-20	DEFINED	ASSEMBLED (AICc/model-selection statistics are standard [Akaike]; the noise-floor-is-the-knob rule and the withdrawal discipline are original)	a fitting/model-selection doctrine — methodology	STATUS: doctrine at FORMAL
D-21	DEFINED	ORIGINAL	a tooling caution (sampling-capped commutant; use character theory) documenting a code defect — procedure	STATUS: doctrine at FORMAL
D-22	DEFINED	ORIGINAL	a reading rule for separation nulls (the underlying permutation-symmetry fact is provable, but the row is registered as the caution)	STATUS: doctrine at FORMAL
D-23	DEFINED	ORIGINAL	an explicitly stipulated convention for 1D carriers, "a stipulation, not a measurement", decided by the principal	STATUS: doctrine at FORMAL — the row itself says stipulation, so GROUNDED "established ... proof" contradicts its own text
F-0	DEFINED	ORIGINAL	a gap declaration — an inventory of the register's own rows naming what the program lacks, not a physics claim	STATUS: meta-inventory row at FORMAL; "no formation step" is a statement about the register, not about carriers
F-1	DEFINED	ORIGINAL	a requirement specification for the RFP (before/after, not freely reversible) — the evidence instantiates it but the ITEM is a spec	STATUS: requirement-spec row at FORMAL
F-6	THEOREM	BORROWED (Knill-Laflamme — weight<d jumps act as scalars on the code space, hence blind on any unravelling)	general over unravellings by the KL scalar-action argument; the 6.3e-16 bound is corroboration
F-8	THEOREM	ORIGINAL	a one-line symmetry proof (Xbar rho Xbar = rho and anticommutation force <Zbar>=0), general; old falsifier withdrawn as the negation of this theorem
F-10	DEFINED	ORIGINAL	a plan row ("NEXT ... Test 3 first") — a decision about what to try, resolved by F-12; not a claim at all	STATUS: a NEXT/plan row sitting at FORMAL is the clearest status mismatch in this range
F-11	MEASURED	BORROWED (Knill-Laflamme — the row's own attribution for the prediction)	pre-registered prediction confirmed only at d=2; the row itself says the scaling claim is NOT tested	tension with D-10: threshold=d verifications were adjudicated instrument checks (F-24 withdrawn); registrar should check how much of F-11's warrant survives that adjudication
F-12	EXACT	ORIGINAL	sufficiency by explicit construction: one specific non-Hermitian jump operator computed to drive <Zbar> to 0.997667 at code-space weight 1 — an existence proof on a finite object
F-13	MEASURED	ASSEMBLED (clause (2) is Knill-Laflamme per the row; the thermal-suffices correction of the non-equilibrium clause is original measurement)	the two-requirement characterisation is grounded in O-11 numerics on small carriers
F-14	THEOREM	ORIGINAL	general over ALL occupation functions of H alone (spectral argument: any f(H) is flat on a degenerate code space), verified across five function classes including a random one
F-15	EXACT	ASSEMBLED (necessity of weight>=d is Knill-Laflamme; the insufficiency counterexample Zbar2 -> exactly 0 is original)	insufficiency established by an exact counterexample on a specific carrier
F-16	MEASURED	ASSEMBLED (the mechanism credited is Knill-Laflamme; the symmetry-vs-KL discriminating experiment is original)	24 couplings at <=7.2e-15 including the four symmetry-breakers — numerical discrimination between two candidate mechanisms
F-17	EXACT	ORIGINAL	chi exactly 0 at weight 1 and 0.11448276 at weight 2 with the closed form exact — exact computation carrying the threshold reading
F-18	MEASURED	ORIGINAL	the decoherence/record-arrow separation is a numerical finding (I(S:B)=0.045 with chi=0 exactly) on one small system, generalised
F-19	THEOREM	BORROWED (standard quantum information — I(S:B) is invariant under system-local unitaries)	a textbook identity, corroborated at 3.7e-14 over 12 random unitaries; the not-erasable-from-inside reading follows
F-20	EXACT	ASSEMBLED (conditional-evolution/copy mechanism is standard measurement theory; the exact checks [Zbar,H_tot]=0 and constancy on three carriers are original)	the mechanism account is warranted by exact commutation and constancy on the three specific carriers
F-21	MEASURED	ASSEMBLED (fragment redundancy is quantum-Darwinism-style standard apparatus; the threshold-in-the-fragments finding is original)	per-fragment bit counts 0.789/0.048/0.679 vs exact zero — numerical, small carriers, generalised
F-22	THEOREM	BORROWED (Knill-Laflamme — the row derives the threshold from the KL scalar-action property, and says so)	general argument for why the threshold is d, with the 0.00000000 fragment check as corroboration
F-26	MEASURED	BORROWED (standard QEC — the row's own concession: "NOT OURS ... an uncorrected code decays at the physical rate")	decay exponent 2.0000 vs static splitting ~3.0 measured on two d=3 codes; classification must follow the concession
F-27	DEFINED	ORIGINAL	a scope statement about the program's account (no agent, so eps^d is static-only protection) — a characterisation, leaning on O-16 and standard QEC, not itself a computation	STATUS: scoping row at FORMAL
F-28	MEASURED	ORIGINAL	fragment-spread numbers (0.0000 vs 1.247/1.329/1.391 growing with bath size) on small baths grounding the equivalent-fragments claim
