ID	VERDICT	CARRIERS	EVIDENCE
C-2	SINGLE-CARRIER	planted-degeneracy-random-H	LANE_W61_TOPOLOGICAL/w61_topological.py:91-97 + OUT.txt:21-24 (8-dim random H, planted [2,2,2,2]; non-canonical carrier); REGISTER_V001.md:4488-4494
C-20	SINGLE-CARRIER	toric-2x2	LANE_T11_CLAUSEV/t11c_scale.txt: torus 2x2 and torus 3x3 (counts 16/1152/3120/0) — same abelian torus model at two sizes = ONE carrier
C-21	SINGLE-CARRIER	rank2-abelian	LANE_T10_PARAMS/t10_params.txt: 'carrier [[4,2,2]] dim 16' (n=4 of the <X^n,Z^n> family), all 28 settings on it alone
C-22	SINGLE-CARRIER	random-degenerate-H	REGISTER_V001.md:7288-7301 (T-12: five systems, all the one construction 'random H with planted degenerate pairs' dims 4-8 +/- diagonal jump; non-canonical); LANE_T12_NECESSARY
C-23	SINGLE-CARRIER	spin-chain	LANE_O24_MINIMALITY/o24_minimality.txt: 'carrier: 3 qubits, H = 0, records Z_1 Z_2 Z_3, dim 8' (qubit register, nearest token spin-chain); 4.000 vs 0.000 curvature cost on that one system
C-24	SINGLE-CARRIER	toric-2x2	LANE_O25_DENSITY/o25_density.txt: exact zeros on four codes — toric 2x2 [[8,2,2]] plus CSS non-toric [[4,2,2]], [[8,3,2]], [[6,4,2]] [2nd carrier refuted: Evidence real and on-claim, but steane-713 never ran: o25_density has only [[4,2,2]]/[[8,3,2]]/[[6,4,2]]/toric-2x2; Steane is k=1, excluded by the lane's k>=2 test. Second carrier unsupported.]
C-25	NOT-CARRIER-SHAPED		LANE_O27_ACTION/o27_action.py+txt: RecordModel dim 8, H0=0 — abstract record register, no physical carrier; analytic pi/sqrt(2) minimum confirmed on that register only
C-26	SINGLE-CARRIER	abstract-block-spaces	LANE_O8_NONABELIAN/o8_flat_available.txt: C^8..C^64 H=0 equal-block systems — one abstract family (non-canonical); remainder is the clause (iii)/(iv) general argument
C-27	SINGLE-CARRIER	toric-2x2	LANE_H15_CARRIER/h15_carrier.txt + h15b_flux.txt: toric 2x2 (8 links, dim 256), flat sector, two-flux sectors, all-four-faces-curved; every plaquette holonomy 1.00000 after writes
C-28	SINGLE-CARRIER	toric-2x2	LANE_H15_CARRIER/h15_carrier.txt + h15b_flux.txt: toric 2x2 only (8 links, 4 faces, dim 256)
C-29	SINGLE-CARRIER	toric-2x2	LANE_O29_NONABELIAN/o29b_transport.txt Z_2 section (0 of 4 changed, order 0 of 8, density 0); 'every abelian carrier' is elementary group theory, computed on Z_2 torus only
C-3	SINGLE-CARRIER	toric-2x2	LANE_O23_SPLITTING/o2_topological.OUT.txt (toric slope 2.0000); LANE_T14_ALPHA/t14_alpha.txt. Other codes measured slope=d but only toric is a 1-form carrier
C-30	SINGLE-CARRIER	DS3-double	LANE_O29_NONABELIAN/o29b_transport.txt:34-75 (S_3 minimal torus, 18/36 and 54/216, computed on group elements; carrier has no records). Non-abelian double of S_3, NOT D(D4) — no canonical token
C-31	SINGLE-CARRIER	toric-2x2	LANE_O29_NONABELIAN/o29b_transport.txt:82-86: Z_2 control (toric family) 2/4; S_3 minimal torus 6/36 is non-canonical and record-free (O-35), classical group arithmetic
C-32	SINGLE-CARRIER	DD4	LANE_O30_DENSITY/o30_density.txt: mixing limit derived+matched on S_3,D_4,A_4,S_4,S_5 — all one non-abelian-double mechanism (group arithmetic proxy); abelian controls identically 0 ('the density question does not even arise there')
C-33	NOT-CARRIER-SHAPED		LANE_O30_DENSITY/o30_density.txt: group-element combinatorics (S_4 8-class generates A_4); ledger/status_ledger.tsv:171 rescope 'about group elements, not records'
C-34	SINGLE-CARRIER	toric-2x2	LANE_O31_PAIRING/o31_pairing.txt: Z_2 toric tori L=2..6 (supports to L=16) — sizes of one carrier only
C-35	SINGLE-CARRIER	toric-2x2	LANE_O31_PAIRING/o31_pairing.txt (Z_2 toric L=2..16, 8x growth; genus-g surfaces); LANE_O30_DENSITY is abstract finite-group counting, not a carrier computation
C-36	SINGLE-CARRIER	spin-chain	LANE_O32_MAGNITUDE/o32_crowding.txt + o32b_density.txt; REGISTER_V001.md:8194-8206 (site-dim table 0.133478/0.267223/0.336940): one venue — H=0 qubit register sharing a bath site (nearest bucket spin-chain)
C-38	SINGLE-CARRIER	toric-2x2	LANE_O33_JOIN/o33a_abelian.txt: carrier [[4,2,2]] only (= minimal abelian stabilizer torus, bucketed under toric-2x2); site-blind ratios 1.000000
C-39	SINGLE-CARRIER	rank2-abelian	LANE_O33_JOIN/o33a_abelian.txt: 'carrier [[4,2,2]], 4 qubits, dim 16'; crowded/spread ratios measured there only
C-4	NOT-CARRIER-SHAPED		REGISTER_V001.md:7288-7330; LANE_T12_NECESSARY. Necessity classification killed by 5 random-H counterexamples (dims 4/6/8, no qubits/cells) built OUTSIDE every carrier family; no canonical-carrier run could support it
C-40	SINGLE-CARRIER	DS3-double	LANE_AUDIT_TOOLS/at2_s3_clauses.txt: D(S_3) minimal torus, multiplicities [8,13,15] + parity lemma; [[4,2,2]] control only validates the pipeline — the result is about the D(S_3) carrier (no canonical token)
C-41	TWO-CARRIER	toric-2x2; DD4	LANE_O35_NONABELIAN_CARRIER/o35_carrier.txt: abelian doubles Z2 (=toric) and Z4 pass, Z3 FAILS; non-abelian D4 PASSES, S3 fails — both discriminating directions at two carrier sizes each
C-42	SINGLE-CARRIER	DD4	LANE_O35_NONABELIAN_CARRIER/o35_carrier.txt: D(D_4) minimal torus dim 64, all-even multiplicities; Z_2/Z_4/Z_3/S_3 rows are controls for the diagnosis, not second-carrier support
C-43	SINGLE-CARRIER	DD4	LANE_O34_NONABELIAN_JOIN/o34_join.txt; LANE_O36_EXACT/o36_reconcile.txt:6-16 (D(D_4) 40/40 blind at 9.466, 0/40 fixed); D(Z_2) controls are zero-by-construction, not second-carrier support
C-44	SINGLE-CARRIER	DD4	LANE_O34_NONABELIAN_JOIN/o34_join.txt: counterexample Tr(P_E R)=[6,0,-6] on D(D_4); the D(Z_2) arm in the same file is the satisfying control, not a replication of the result
C-45	SINGLE-CARRIER	spin-chain	LANE_SIGN_DEFINITE/sd1_signs.txt: one venue family only — [[n,n-2,2]] X^n/Z^n record-chain codes n=4..10 (1D record chain; no other carrier run); exact integer arithmetic k=2,4,6
C-47	SINGLE-CARRIER	steane-713	REGISTER_V001.md:8425-8460 ('probes on the [[n,n-2,2]] family and products of [[4,2,2]] blocks'); LANE_ASYM_C_EXTENSIVITY/s5_master.txt, VERIFY/v4_surviving_candidate.txt — all CSS non-toric block registers, one carrier
C-48	SINGLE-CARRIER	toric-2x2	LANE_ASYM_C_EXTENSIVITY/s5_master.txt: m disjoint [[4,2,2]] blocks (bound 2.518200343591), s3/s4/VERIFY same block family; the inequality chain itself is borrowed Holevo math
C-49	SINGLE-CARRIER	rank2-abelian	LANE_ASYM_A_ZERO_OR_GROWING/s1_f2_structure.txt+s1b ([[n,n-2,2]] family, wmin=2, Wflip=2k, n=4..48); LANE_ASYM_B_COLLAPSE/VERIFY/v1_combinatorics.txt
C-5	SINGLE-CARRIER	toric-2x2	Thm A (Kitaev, toric family); LANE_G1_RECORD_COUNT/g1b_groundspace.OUT.txt: areas 4 and 6 are torus 2x2 and 2x3 — sizes of one carrier
C-50	SINGLE-CARRIER	toric-2x2	LANE_ASYM_B_COLLAPSE/s2_combinatorial.txt + s5_additivity.txt (lam_s=0; lam_o ratio 0.5000 at matched size pairs) — all on the [[n,n-2,2]] abelian-stabilizer family ([[4,2,2]] base, lumped to the toric class)
C-51	SINGLE-CARRIER	DD4	LANE_O36_EXACT/o36_exact.txt + o36_reconcile.txt: D(D_4), D(Q_8), D(D_8) — all non-abelian quantum doubles, one canonical carrier class (DD4); abelian and negative controls in same table
C-52	SINGLE-CARRIER	steane-713	LANE_EXACT_A_ZERO/e6_gauge_content.txt ([[n,n-2,2]] sweep n=4..20); LANE_T30_TOLERANCE/t30_tolerance.py:36-37 (control = XXXX+ZZZZ [[4,2,2]]-type) — theorem general, computed only on the CSS non-toric family
C-53	SINGLE-CARRIER	toric-2x2	LANE_EXACT_A_ZERO/e3_words_and_gauge.txt: abstract abelian-stabiliser record Pauli group, 1848 words, exhaustive n=4,6 — one structural class (toric-2x2 as its token)
C-54	SINGLE-CARRIER	rank2-abelian	LANE_EXACT_A_ZERO/e10_gap_characterised.txt (witness [[6,4,2]], stabilisers X^6/Z^6); LANE_EXACT_A_ZERO/VERIFY/v1_gap_refutation.txt (16000 triples) — all [[n,n-2,2]]
C-56	SINGLE-CARRIER	toric-2x2	LANE_O42_EXCLUSION/o42_exclusion.txt: [[4,2,2]]/[[6,4,2]]/[[8,6,2]] operators (F_2 to [[12,10,2]]) — one abelian-stabilizer distance-2 family; Schur direction is general
C-57	SINGLE-CARRIER	spin-chain	LANE_O44_ADMISSIBLE/o44_driven.txt: one family only — [[n,n-2,2]] X^n/Z^n codes n=4,6 with Z_iZ_i+1 record chain; control and config-energy variant are the same family
C-58	SINGLE-CARRIER	spin-chain	LANE_O47_BOTH/o47_both.txt: H = Z1Z2 two-qubit chain, exact Pauli-group search, writer cost +0.000000 vs inadmissible +2.000000; H=0 control same table. One carrier
C-59	SINGLE-CARRIER	spin-chain	LANE_O47_BOTH/o47_both.txt: 2-qubit H=Z1Z2 plus H=0 control — one tiny spin venue corroborating the scope statement
C-6	SINGLE-CARRIER	toric-2x2	PROOF_V001.md:30-44 Thm B written proof; numeric check only on toric 2x2 (record labels [-1,-1,+1,+1], ||{M,Z}||=1.26e-15); ledger/status_ledger.tsv:11
C-60	NOT-CARRIER-SHAPED		ledger row's own rescope: near-tautology, elementary linear algebra, circular under DEF-A (definitional consequence); LANE_O48_D_CLAUSES/o48_part3_necessary.txt scans (ZZ/XY chains, grids) are instrument checks
C-61	SINGLE-CARRIER	spin-chain	LANE_O48_A_EXTENSIVE/s1_clauses.txt (H = sum J_i Z_i Z_{i+1} open chain); the zero-record non-degenerate control is also a chain in the same table (LANE_O48_C_SIGN s2/s3)
C-62	SINGLE-CARRIER	spin-chain	LANE_O48_C_SIGN/s1_clauses.txt (H=sum J_i Z_iZ_i+1, R_i=Z_i Ising record chain), s2_sign.txt:115 (coh*sqrt(m) flat at sqrt(2/pi)), exact DP to m=4096
C-63	SINGLE-CARRIER	spin-chain	LANE_O48_B_SEPARATION/p2b_induced.txt: Zr_i records coupled to 1D hopping (free-fermion) mediator chain; J_eff=(-1)^(r+1)/(pi r), t=0 control zero. BORROWED (1D RKKY/Lindhard) per 2026-08-20 correction
C-64	SINGLE-CARRIER	spin-chain	LANE_O48_D_CLAUSES/o48_part1_scale.txt, o48_part4_clausev.txt: ZZ chain n=3..14, open vs ring — both 1D chains, one carrier
C-65	SINGLE-CARRIER	spin-chain	LANE_O48_A_EXTENSIVE/s1_clauses.txt (H=sum J_i Z_iZ_{i+1} open chain), s6_independence.txt (fully coupled chain venue, 1 independent record at every n)
C-66	TWO-CARRIER	macrospin-CoCrPt; NAND-floating-gate	LANE_GR1_CENSUS/CENSUS_V001.md:55-113 (13-record census incl. HDD CoCrPt grain and flash gate, clause (v) 13/13); LANE_GR2_PROTECTION/gr2_arrhenius_numbers.OUT.txt
C-67	SINGLE-CARRIER	macrospin-CoCrPt	LANE_GR1_CENSUS/numbers.txt: CMB doublet exactly degenerate vs HDD grain 60.7kT/7e9yr and flash 5800kT — the least-protected ranking spans these; CMB photon itself has no canonical token [2nd carrier refuted: C-67 is a single-object result about the CMB photon (no canonical token). macrospin-CoCrPt and NAND-floating-gate are census contrast comparators on which the claim fails; neither tests the result.]
C-68	SINGLE-CARRIER	macrospin-CoCrPt	LANE_GR2_PROTECTION/gr2_arrhenius_numbers.OUT.txt: CoCrPt grain Eb=0.75eV, Delta, tau computed; toric finite-T line 40-41 is a cited literature formula (AFH/BT), no number run; theorem part is general
C-69	SINGLE-CARRIER	macrospin-CoCrPt	LANE_T29_HDD/t29_grain.txt (CoCrPt grain, E_b=60.8kT; record-mode extraction confirmed 8.4e-15); solidity-review correction in ledger row
C-7	SINGLE-CARRIER	toric-2x2	PROOF_V001.md:47 Thm C proved for Z_2 surface family, verified on torus (contractible loops ~3e-17); KL generality is literature, no second carrier computed
C-70	SINGLE-CARRIER	macrospin-CoCrPt	LANE_T33_ANYSURFACE/t33_anysurface.txt: 6 param sets in ONE 2x2 GKSL (ledger:237 demotion); azobenzene+alanine WITHDRAWN; only substantive carrier build is the T-30/T-29 macrospin grain
C-71	TWO-CARRIER	NAND-floating-gate; macrospin-CoCrPt	LANE_T34_NAND/t34_nand.txt (every-pattern sign, +-5e null, extensive); LANE_T32_REALSOURCE/t32_source.txt (M_r extensive, DC-saturated one-signed, screening 0.0027); LANE_T29_HDD/t29_grain.txt
C-72	TWO-CARRIER	NAND-floating-gate; macrospin-CoCrPt	LANE_T34_NAND/t34_nand.txt (occupancy ratio 1.000000 for every pattern, N to 1e5); T-32 orientation screening 0.00096 on random data; promotion REGISTER_V001.md:9517, 9579-9581
C-73	TWO-CARRIER	toric-2x2; steane-713; spin-chain	LANE_O50_B_THEOREM/t3_stabiliser.txt:7-14 (repetition, [[4,2,2]], [[5,1,3]], Steane [[7,1,3]], [[8,3,2]], toric L=2, multi-tori) and open chain n=6 control (lines 91-99), exact F_2
C-74	SINGLE-CARRIER	toric-2x2	LANE_O50_A_ACTION/s1_toric_f2.txt, s4_clause_v.txt: toric code L=3..6, 1480-region census, Aut=8L^2; s5_controls_chain.txt is the 1D-proxy control, not a second carrier
C-75	TWO-CARRIER	steane-713; spin-chain	LANE_T28_LIMIT/t28_limit.txt: commutant limit 96/96 on [[4,2,2]], 1536/1536 on [[6,4,2]] (CSS blocks), 24/24 on 3-qubit Ising, plus 2-level dissipative control — stabilizer-code vs generic-chain mechanisms
C-76	SINGLE-CARRIER	toric-2x2	LANE_T31_ASYMMETRY/t31_asymmetry.txt: carrier [[4,2,2]], k 2->0 collapse with symmetric/partial controls; successor law (C-86) checked in LANE_T47_A/B on a generic two-state model, not this row's carrier
C-78	TWO-CARRIER	toric-2x2; rank2-abelian; macrospin-CoCrPt; NAND-floating-gate	LANE_T42_A_DISTANCE/t42_a_toric.OUT.txt (L=2..5, 268M exact), t42_b_codes.OUT.txt ([[4/6/8,n-2,2]]), t42_c_doubles.OUT.txt; LANE_T42_B_WORLDDIST/t42b_worlddist.OUT.txt (HDD_grain, flash_gate)
C-8	SINGLE-CARRIER	toric-2x2	"REGISTER_V001.md:7232-7247 (T-14 table: [[8,2,2]] toric, [[7,1,3]] Steane, plus [[5,1,3]] non-CSS which has no canonical token); LANE_T14_ALPHA [2nd carrier refuted: Cited table is real, but toric-2x2 and steane-713 both have n*=d: degenerate cases whose slopes cannot discriminate C-8's ""n* not d"" claim. Only [[5,1,3]] (no canonical token) tests it.]"
C-80	TWO-CARRIER	toric-2x2; NAND-floating-gate	LANE_O54_A_CORNER/o54a_two_region.OUT.txt (toric CSS venue, exact F_2, L to 12); LANE_O54_B_WORLD/o54b_world.py:10 + .OUT.txt (NAND-like floating-gate cell blocks, mediator q=2.10); o54d_judgment.txt
C-81	SINGLE-CARRIER	toric-2x2	LANE_T43_A_CORNER/t43_corner.OUT.txt: corner-tier planar stabilizer (stars/plaqs) L=3..12 exact F_2, CERT=2*PER-10, WRITE0=0; one abelian-stabilizer-surface carrier
C-82	SINGLE-CARRIER	macrospin-CoCrPt	LANE_T43_B_WORLD/t43b_world.OUT.txt + PUBLISHED_CONVENTIONS.txt: exact counts n=2..12 on the GR1/T42_C grain-block access model (one barrier record per HDD grain) — one world model
C-83	NOT-CARRIER-SHAPED		LANE_T45_CLOCK/t45_clock.txt: CERT_W=min(n^3,W*L1) counting identity on the abstract census lattice (W=1 reproduces C-82; W=inf the corner); world rows are literature-lifetime arithmetic; a convention ruling on the T-43 split
C-85	NOT-CARRIER-SHAPED		Row is a reproduction/validation claim about the URM codebase vs sealed numbers (model/geometry.py, validate_geometry.py 31 gates, model/VERIFY_T46, D-25 gates) — not a carrier computation
C-86	TWO-CARRIER	spin-chain; toric-2x2	LANE_T47_A_WIDTH/t47_a_width.txt (two-well Liouvillian ensembles; instrument grid 6.0e-15, 1201 t_m); LANE_T47_B_STAIRCASE/t47b_staircase.txt:120-146 (section F: [[4,2,2]]+Davies carrier, staircase 2->1->0 PASS)
C-87	TWO-CARRIER	toric-2x2; spin-chain	LANE_T44_A_CORNER/t44a_corner.OUT.txt: D=2 toric venues (4,6),(3,7) mu_c=1/4 log kernel; D=1 chain venue mu_c=1/2 linear kernel, three instruments, disjoint windows (lines 45-65, 240-252)
C-88	SINGLE-CARRIER	macrospin-CoCrPt	"LANE_T44_C_COMPOSE/t44c_compose.OUT.txt: every gate run on BOTH venues — WORLD 3-D 11x5x5 grain block (GR1/T43-B HDD access model) and 2-D 13x7 corner-tier string lattice; 36/36 PASS, per-venue d checks [2nd carrier refuted: All 8 Sec-2 screening/accumulation gates and G3.1-3.6 ran ONLY on the 3-D world venue; the 2-D lattice is a spot-check ""dimension discriminator"" (G1.3c, G3.7) — a weakened test, not a second carrier.]"
C-89	SINGLE-CARRIER	DD4	LANE_T24_DV/t24_main.txt (D(D_4) 1x2 torus, dim 4096, integer traces {30,-48,12,0,6}); t24_z2.txt D(Z_2) control FAILS clause (v) — a discriminating control, not support on a second carrier
C-9	NOT-CARRIER-SHAPED		One-line *-algebra lemma (adjoint closure), CLASS THEOREM/BORROWED; LANE_O1_CONVERSE/o1_gap_a_compatibility.txt LEMMA 0 is a random-matrix self-check, no program carrier computation
F-11	TWO-CARRIER	toric-2x2; steane-713	LANE_O10_SCALING/o10_threshold.txt: threshold=d on [[8,2,2]] toric 2x2, [[7,1,3]] Steane, [[5,1,3]], [[9,1,3]], [[4,2,2]], [[3,1,1]]; REGISTER_V001.md:5685 'F-11/F-13 no longer rest on the single d=2 carrier'
F-12	SINGLE-CARRIER	toric-2x2	LANE_F7_OCCUPANCY/f10b_threshold.txt part B (2x2 torus, dim 256); REGISTER_V001.md:5364-5410
F-13	SINGLE-CARRIER	toric-2x2	LANE_O11_MEANFORCE/o11_meanforce.txt ('system: toric code 2x2, dim 256') + o11b_weight1.txt; all O-11 numerics on the one toric carrier
F-14	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:5594-5601 (import-audit lens 3 re-run 'on our own carrier': <Zbar><=1.1e-14 across five f(H) classes) — the F-series toric 2x2 record Zbar
F-15	SINGLE-CARRIER	toric-2x2	LANE_O11_MEANFORCE/o11b_weight1.txt: Zbar2 exactly 0 vs Zbar 0.824573, on the same toric 2x2 carrier
F-16	SINGLE-CARRIER	toric-2x2	LANE_O11_MEANFORCE/o11b: all 24 weight-1 couplings on the [[8,2,2]] toric 2x2 (Zbar/Zbar2, d=2); strongest Y_4 5.317e-15
F-17	SINGLE-CARRIER	toric-2x2	LANE_F1_ARROW/f1_arrow.txt:20-22 (24 weight-1 chi=0, 252 weight-2 chi=0.11448276, n=8 toric 2x2 only)
F-18	SINGLE-CARRIER	toric-2x2	REGISTER_V001.md:5873-5952; LANE_F1_ARROW: toric 2x2 + 4-level bath; I(S:B)=0.04549256 with chi=0.00000000 at weight 1, chi on at weight 2=d. One small system, row itself says generalised
F-19	SINGLE-CARRIER	toric-2x2	LANE_F1_ARROW/f1b_invariance.txt (toric 2x2, dim 256, Zbar/Zbar2; 3.686e-14 over 12 unitaries)
F-20	TWO-CARRIER	toric-2x2; bouquet	REGISTER_V001.md:7088-7110 (T-9 battery, F-20 row PASS on [[8,2,2]], non-manifold torus+cap [[8,1,2]], and [[4,2,2]] which lumps to the toric class)
F-21	SINGLE-CARRIER	toric-2x2	Fragment bits 0.789/0.048/0.679 computed on toric only (REGISTER_V001.md:6123); T-9 replicated only the whole-bath weight-1 null on [[8,1,2]]/[[4,2,2]], not fragment redundancy (t9_sweep.txt)
F-22	SINGLE-CARRIER	toric-2x2	LANE_PF2_DYNAMICAL/pf2_history.txt (toric 2x2 dim 256; weight-1 gives 0 on whole bath and every fragment); KL argument general but checked on toric only
F-26	SINGLE-CARRIER	steane-713	LANE_O16_DISSIPATIVE/o16_dissipative.txt: decay exp 2.0000 on Steane [[7,1,3]] AND on [[5,1,3]] non-CSS (no canonical token exists for 513); splitting 2.9835/2.9979; [[4,2,2]] arm VOID [2nd carrier refuted: Numbers check, but [[5,1,3]] has no canonical token and shares algebra/mechanism (abelian Pauli stabilizer d=3 block code) with steane-713; CSS vs non-CSS is not a taxonomy split. One carrier only.]
F-28	SINGLE-CARRIER	perfect-513	LANE_T13_BATHSIZE/t13b_redundancy.txt + t13c_control.txt: system [[5,1,3]] non-CSS (no canonical token), spreads 1.247/1.329/1.391 random vs 0.0000 identical at nq=3/5/7; REGISTER_V001.md:7060-7080
F-6	SINGLE-CARRIER	toric-2x2	KL theorem is general/borrowed; the 6.344e-16 measurement is toric 2x2 only: REGISTER_V001.md:5377; LANE_F7_OCCUPANCY/f10b_threshold.txt:9; LANE_O4_ADMISSIBLE/o4_variant.txt:21
F-8	SINGLE-CARRIER	toric-2x2	One-line theorem; carrier instantiation on toric Zbar/Xbar only (ledger status_ledger.tsv:60; LANE_O11_MEANFORCE/o11_meanforce.txt symmetry control <Zbar>=0)
G-10	TWO-CARRIER	toric-2x2; bouquet	LANE_G10_NONMANIFOLD/g10_nonmanifold.txt: degeneracy=2^dimH1 matched on torus 2x2/3x3 AND theta graph, bouquets of 2/3/4 triangles, two tori wedged, abstract complex; 2-chi fails on 6 of 11
G-11	TWO-CARRIER	bouquet; toric-2x2	LANE_G10_NONMANIFOLD/g10_nonmanifold.txt; LANE_PF3_ADMISSIBLE2/pf3c_twodistances.txt (bouquet k=2,3 d=1 vs torus 2x2/3x3 d=2,3) — the claim IS the two-family contrast, both computed
G-13	NOT-CARRIER-SHAPED		ledger/status_ledger.tsv:48 — erratum re-attributing Thm B's source (universal coefficients vs Poincare duality); a statement about the proof/literature, no carrier computation
G-16	SINGLE-CARRIER	toric-2x2	LANE_T9_CARRIERINDEP/t9_sweep.txt: channel opens/shut PASS on toric [[8,2,2]], torus+cap [[8,1,2]], [[4,2,2]]; REGISTER_V001.md:7088; 31/31 cycles incumbent only (REGISTER_V001.md:6933) [2nd carrier refuted: No bouquet (disqualified, d=1) or rank2-abelian run; T9's B/C are abelian Z2 stabilizer variants (B = incumbent H + one term), and their G-16 checks are trivial endpoints the refuted criterion also passes.]
G-4	SINGLE-CARRIER	toric-2x2	LANE_X6_CONSTRAINT_ALGEBRA/x6a_algebra.txt (2x2 torus), x6b_boundary.txt (3x3), x6c_cohomology.txt (2x2/2x3/3x3) — all abelian tori, one carrier by the any-size rule
G-5	SINGLE-CARRIER	toric-2x2	PROOF_V001.md:19-70 Thms A-C on Z_2 surface family; verified 2x2/2x3 tori + disk control; no non-toric carrier checked for R1-R3
G-8	SINGLE-CARRIER	toric-2x2	LANE_X6_CONSTRAINT_ALGEBRA/x6b_boundary.txt (torus 3x3 dense + larger tori for scaling — all one abelian stabilizer torus carrier)
G-9	SINGLE-CARRIER	toric-2x2	LANE_X6_CONSTRAINT_ALGEBRA/x6c_cohomology.txt: tori 2x2/2x3/3x3 (three sizes of one carrier), dim Z1/B1/H1 exact, match 1.0
H-15	SINGLE-CARRIER	toric-2x2	LANE_H15_CARRIER/h15_carrier.txt:4 + h15b_flux.txt: all on toric 2x2 (curved sectors are the same carrier with flipped plaquettes)
H-4	TWO-CARRIER	toric-2x2; bouquet	GROUNDED = T-9 robustness battery: REGISTER_V001.md:7088-7113, 32 PASS 0 FAIL across [[8,2,2]] manifold, [[8,1,2]] non-manifold, [[4,2,2]] non-lattice (toric class)
O-10	TWO-CARRIER	toric-2x2; steane-713	LANE_O10_SCALING/o10_threshold.txt: threshold=d on six codes incl. [[8,2,2]] toric and [[7,1,3]] Steane (also [[3,1,1]],[[4,2,2]],[[5,1,3]],[[9,1,3]]); plus the all-stabiliser proof
