# T-36 LANE C — CLASSIFICATION TABLE — 2026-08-20
# RANGE: all FORMAL rows not in the other two ranges. Coverage check: 184 FORMAL rows total in
# ledger/status_ledger.tsv. By prefix: C=81; D+F+G+O=83; A=7, H=5, T=2 (T-I.4, T-III.6), PF=6.
# The named prefixes W-, X-, P-, E- contain ZERO FORMAL rows. This lane therefore covers the
# 20-row remainder A- + H- + T- + PF-, a clean three-way partition (81 + 83 + 20 = 184).
# ASSUMPTION TO VERIFY AT MERGE: lanes A and B cover exactly {C-*} and {D-*,F-*,G-*,O-*}.
# CLASS: THEOREM | EXACT | MEASURED | DEFINED. OWNER: ORIGINAL | BORROWED(owner) | ASSEMBLED(standard part; original part)
#
# ID	CLASS	OWNER	JUSTIFICATION	FLAG
PF-5	MEASURED	ASSEMBLED (standard: the lambda^(2d) splitting order is degenerate perturbation theory; original: exhibiting an ordinary local environment that forms records, slope 3.8988 vs predicted 4)	fitted slope on a small carrier dissolving O-9's premise — numerical inference	—
PF-7	MEASURED	ORIGINAL	channel_map dependency structure and formation-independence numerics on one carrier; multi-record generality inferred	—
PF-9	EXACT	ASSEMBLED (standard: the (H,{L_k}) GKSL pair and its fixed-point/information-preserving-structure theory, Frigerio and Blume-Kohout-Ng-Poulin-Viola; original: the record model and the 12-test validation suite)	12 PASS 0 FAIL exact reproduction of registered results on specific finite objects	—
H-2	DEFINED	ORIGINAL	resolved as a stated limitation/convention: "alpha" names a generic coupling strength, not the fine structure constant — a scope declaration, not a claim	FLAG: DEFINED-vocabulary resolution sitting at FORMAL; the embedded T-10 robustness sweep (28 settings, 0 moved) is MEASURED and could carry the FORMAL mark separately
H-4	EXACT	ORIGINAL	32 PASS 0 FAIL across a manifold lattice, a non-manifold lattice, and a non-lattice code — exact of those three objects, with the remaining single-carrier scope made explicit	—
H-9	DEFINED	ORIGINAL	a criterion/diagnostic (H_ABCD comparator) supplied by the principal before any measurement — methodological doctrine, cannot be true or false	FLAG: DEFINED row at FORMAL; GROUNDED boilerplate claims something "established" where nothing is — a criterion was stipulated
H-14	DEFINED	ORIGINAL (GR vocabulary T_uv/g_uv borrowed as labels only)	the principal's decision among three connection candidates (curvature = carrier transport; pairing = source; channel = metric) — a decision, not a claim	FLAG: DEFINED (decision) at FORMAL; GROUNDED "established about the five clauses" boilerplate misfits a decision row
H-15	EXACT	ASSEMBLED (standard: link variable = connection, plaquette holonomy = lattice curvature, Wegner/Wilson; original: the two-way independence computation of curvature vs record content)	exact counts (4 records in every sector) and holonomies exactly 1 on the one carrier; the independence claim is inferred from that carrier	—
#
# CLASS COUNTS (this lane): THEOREM 2, EXACT 6, MEASURED 7, DEFINED 5 — total 20.
# STATUS FLAGS SUMMARY: A-GR2, PF-1, H-2, H-9, H-14 carry DEFINED-type content (doctrine, editorial
# act, scope convention, criterion, decision) while sitting at FORMAL — the ledger's own STATUS_VOCAB
# has a DEFINED status these rows fit better. T-I.4 and T-III.6 are TARGET questions whose ITEM
# cannot hold a status; the status belongs to their answers. All 20 rows carry the identical GROUNDED
# boilerplate ("FORMAL — established about the program's stipulated five clauses...") which is
# contradicted on the decision/criterion/editorial rows (PF-1, H-9, H-14), where nothing is
# established — something was stipulated or decided. A-EM4's GROUNDED "established" overstates the
# all-L closed forms, verified only at L=2..5.
