# T-36 CROSSCHECK — CONSOLIDATED CLASSIFICATION TABLE (all 184 FORMAL rows)
# Crosschecker lane: LANE_T36_D_CHECK. Date 2026-08-20.
# Format: ID | CLASS | OWNER | justification | flag(optional)
# COVERAGE: 184 FORMAL rows in ledger/status_ledger.tsv (not 162 — see FLAG-1). All covered exactly once below.
#   Lane overlaps resolved: 7 A-* rows classified by lanes 1+3 (all agreed), 5 H-* rows by lanes 2+3
#   (agreed except H-4, adjudicated MEASURED). One crosschecker override: T-III.6 (lane 3 said MEASURED).
A-EM | THEOREM | ASSEMBLED (Wegner/Wilson + Kitaev lattice-gauge chain complex; EM's-own-complex consolidation original) | written general proof PROOF_V001 Thm B(ii) for any closed orientable surface; G-9's exact match is an instance |
C-29 | THEOREM | BORROWED (elementary group theory / Kitaev quantum-double — abelian conjugation is identity) | general for abelian carriers; rescoped to fluxes by AUDIT 2 |
C-30 | EXACT | BORROWED (Kitaev quantum double D(S_3) — standard non-abelian flux transport) | exact counts 18/36, 54/216; row rescopes to group elements, carrier has no records |
C-31 | THEOREM | BORROWED (elementary group theory) | properties of being a group, identical on abelian control — the row's own point |
C-32 | THEOREM | ASSEMBLED (character/mixing arithmetic standard; derivation + 8/8 match and wrong-variable conclusion original) | limit derived hence general, matched at orders 2-120 |
C-33 | THEOREM | BORROWED (elementary group theory — class generates the subgroup it generates) | general, instanced on S_4/A_4; rescoped to group elements |
C-34 | EXACT | ASSEMBLED (symplectic pairing of toric logicals standard homology; C-29-narrowing original) | non-degenerate pairing matrices computed exactly at every size tested |
C-35 | MEASURED | ORIGINAL | no-density-law negative inferred from crossing-number invariance under 8x growth and falling interaction fraction |
C-36 | MEASURED | BORROWED (Holevo — row's own concession: conventional physics, NOT a discovery of this program) | chi per record bounded by site bits; classification follows the concession |
C-38 | MEASURED | ORIGINAL | site-blindness measured (ratios exactly 1.000000 vs suppression) on one carrier |
C-39 | MEASURED | ORIGINAL | crowded/spread difference ~0.33 stable over 3x coupling range |
C-40 | EXACT | ORIGINAL | multiplicities [8,13,15] computed plus parity lemma — exact no-records verdict with control |
C-41 | THEOREM | ORIGINAL | iff over all D(G) with the parity argument supplied, verified on five groups with both discriminating directions |
C-42 | EXACT | ORIGINAL | D_4 carrier dim 64 computed: all-even multiplicities, records exist — true of it exactly |
C-43 | MEASURED | ORIGINAL | 40/40 vs 0/40 with commutator magnitudes on D(D_4); rescoped by O-36 inside the row |
C-44 | EXACT | ORIGINAL | explicit counterexample Tr(P_E R)=[6,0,-6] on D(D_4) kills the automatic reading |
C-45 | MEASURED | ORIGINAL | exact integer arithmetic at k=2,4,6 only; the load-bearing cancellation-deepens claim is a trend inferred from three small carriers |
C-46 | DEFINED | ORIGINAL | the program's discriminator (fail-to-cancel, not growth) — a methodological criterion | FLAG: DEFINED-doctrine row at FORMAL
C-47 | MEASURED | ASSEMBLED (mean-force potential Phi standard; extensive/additive/not-a-count source-standard battery original) | numerical convergence ratios and defect bounds on finite carriers grounding a general source-standard claim |
C-48 | THEOREM | BORROWED (Holevo — the row concedes "the Holevo bound plus a finite bath's entropy") | exact N-independent inequality chain valid for all instances; numerics are confirmation |
C-49 | EXACT | ORIGINAL | exhaustive brute force over every record and every Pauli at n=4,6,8, weight exactly 2 | FLAG: "every even n" outruns verified range (exhaustion to n=8, sampling to n=32)
C-50 | EXACT | ORIGINAL | relation matrix identically zero computed exactly, plus block-diagonal max-vs-sum argument, with positive control |
C-51 | EXACT | ASSEMBLED (Kitaev D(G) carriers standard; allow/require refutation of the class-function chain original) | existence exhibits verified exactly on D(D_4), D(Q_8), D(D_8) with controls |
C-52 | THEOREM | ORIGINAL | written proof judged sound by the adversary (Z[i] trace-ratio quantisation); the row withdraws the physical conclusion, not the theorem |
C-53 | THEOREM | ASSEMBLED (extraspecial-group-determined-by-symplectic-form standard; record-operator application + exhaustive n=4,6 check original) | general proof for all record triples, exhaustively confirmed |
C-54 | EXACT | ASSEMBLED (AFM Ising-triangle frustration textbook; identity-erased reconstruction routine original) | exact reconstruction, 0 mismatches in 16000 triples, on specific finite carriers |
C-56 | THEOREM | ASSEMBLED (Schur's lemma standard — "This is Schur"; symplectic non-degeneracy verified per n original) | general conditional proof needing no large N |
C-57 | EXACT | ORIGINAL | exhaustive Pauli-group writer search with control, exact costs |
C-58 | EXACT | ORIGINAL | exact search on H=Z1Z2, exact traces/commutators/costs, control in same table |
C-59 | THEOREM | ORIGINAL | general scope statement — Tr(P_E R)=0 places no condition on R_iR_j — trivially provable | FLAG(minor): thin, near the standard-restatement bucket
C-60 | THEOREM | BORROWED (elementary linear algebra; standard restatement) | [U,H]=0 preserves eigenspaces; the row itself calls it a near-tautology and rescopes the circular gloss |
C-61 | EXACT | ORIGINAL | exact identities S=2||H||_op, Var=Tr(H^2)/2^n, with zero-record control passing all four standards |
C-62 | EXACT | ASSEMBLED (random-sign-sum statistics sqrt(2/pi)m^-1/2 standard; application to record correlation energy original) | exact rational mean 0 at every n, closed form verified digit-for-digit to m=4096 |
C-63 | MEASURED | BORROWED (RKKY/Lindhard — the row's own 2026-08-20 correction mandates this) | measured induced falloff matching the known 1D form; only the gapless-supplies-(e) observation is the program's |
C-64 | EXACT | ASSEMBLED (Frobenius-Konig/perfect matching standard; every-unitary flip criterion and clause-(v) verdict original) | exact criterion cross-checked on 630 cases, w=n at n=3..14 with firing controls |
C-65 | THEOREM | ORIGINAL | non-existence proof: each Z_iZ_{i+1} scalar on every 2-dim eigenspace, so no admissible unitary changes any pair correlation |
C-66 | THEOREM | ASSEMBLED (nondegenerate-commutant fact + Neel/Brown barrier physics standard; joint unsatisfiability of exact (ii)+(iii) original) | general proof plus 13-record empirical census | FLAG(minor): census half is empirical with borrowed physics
C-67 | MEASURED | ASSEMBLED (CMB polarisation physics standard; clause-by-clause evaluation original) | an empirical census fact about one real record, not a computation on program carriers |
C-68 | THEOREM | ASSEMBLED (support-compression theorem original; flux-quantum/phase-slip, Chern/baryon facts, finite-T lifetimes standard) | general written argument plus borrowed census physics |
C-69 | EXACT | BORROWED (Neel-Arrhenius/Neel-Brown — row's demotion: standard physics reproduced not predicted) | exact computation on a constructed (H,{L_k}) model; agreement an identity of the construction | FLAG: GROUNDED contradicts text — claims prediction "not by inserting the Arrhenius rate"; EVIDENCE declares that clause false and no measured datum enters
C-70 | THEOREM | BORROWED (textbook detailed-balance/GKSL — tanh forced by construction, per the row's own demotion) | exact algebraic identity for any two-state detailed-balance record | FLAG: GROUNDED contradicts text — still lists azobenzene and alanine as VERIFIED; EVIDENCE withdraws both (grep-confirmed)
C-73 | THEOREM | ORIGINAL | general orbit-sum proof from writes-are-bijections, holding on every carrier including a zero-record control |
C-74 | EXACT | ASSEMBLED (toric-code homology Kitaev/Bravyi-Terhal standard; exhaustive 1480-region census, Aut=8L^2 original) | exact F_2 over all regions at L=3..6 with the 1D proxy as control |
C-75 | EXACT | ORIGINAL | exact verification on three carriers (96/96, 1536/1536, 24/24) that DEF-A is the no-dissipation limit, with dissipative control |
C-76 | THEOREM | ASSEMBLED (Neel/Sharrock/Street-Woolley activation window conceded by name in C-86; derived width, staircase law original) | derived closed form with zero adjustable content, instrument-verified | FLAG: near-duplicate of C-86 — mark superseded rather than carry independently
C-78 | EXACT | ASSEMBLED (Rains quant-ph/9704043 odd-n nonexistence borrowed per verifier; symplectic-parity route, exhaustive 268M-writer closures original) | metric axioms verified exhaustively over all pairs/triples on 10 venues with failing control |
C-80 | EXACT | ASSEMBLED (owners named in-row: Kitaev-Preskill/Levin-Wen TEE, Hamma-Ionicioiu-Zanardi instrument, Wegner/Wilson confinement, Bravyi-Kitaev; five-class taxonomy, w_min=d closure, division of labor original) | exact F_2 to L=12, 33/33 gates; the one measured element (q=2.10) analytically confirmed |
C-81 | EXACT | ASSEMBLED (HIZ/Kitaev-Preskill cut-rank, Bravyi-Terhal cleaning; certify/write ledger and CERT=cut-rank identity original) | exact F_2 identities to L=12 by two routes plus adversarial recomputation |
C-82 | EXACT | ASSEMBLED (min-cut/max-flow standard; world-tier certification-rate law 6n^2-12n+8 original) | exact min-cut law per epoch with the verifier's 26/26 correction carried in-row |
C-83 | EXACT | ORIGINAL | exact window law CERT_W=min(n^3, W*min-cut) on the declared model; W=1 and W=infinity reproduce C-82 and the corner exactly |
C-84 | DEFINED | ASSEMBLED (an attribution ledger: survivors ORIGINAL, the rest conceded by name — Fattal/Hein/HIZ, Wohlfarth/Mee-Daniel/Pavan-Bez, Wegner/Wilson/Kitaev/Bravyi-Terhal, Neel/Brown/Boltzmann, BKNPV/Frigerio/KLV, Shlyakhter/Damour-Dyson) | adjudication among rival accounts fixing what the program owns — a verdict, not a computation | FLAG: S-1 explicitly provisional on a commissioned literature check — FORMAL ahead of its own condition; DEFINED-type at FORMAL
C-85 | EXACT | ORIGINAL | bit-for-bit reproduction of every registered headline, 31 gates against sealed values, adversarial re-derivation beyond the gated range | FLAG(minor): infrastructure/validation row on the same FORMAL axis as physics claims
C-86 | THEOREM | ASSEMBLED (ownership PARTIAL per the row, conceding Neel/Street-Woolley/Sharrock, Charap-Lu-He, field-tilted Neel-Brown/Preisach-Neel, MLC engineering; derived width, unification, integer census law, departure term wholly owned) | derived general count law, zero adjustable content, instrument-verified to 6.0e-15; row holds it at FORMAL pending external data |
C-87 | EXACT | ASSEMBLED (Spitzer/Stohr comparison-only, Ornstein-Zernike, Perron standard; Gamma-priced generating function, criticality-is-the-venue's-Poisson, D=1 discriminator original) | 70 gates, no floats on the measurement path, proven tail bounds, three independent routes at mu_c | FLAG: D=3 branch by owner attribution only, in re-run (N1) — component below the row's grade
C-88 | EXACT | ASSEMBLED (Menger's theorem standard; R1/R2 rules, per-order integer superposition identity, occupancy/orientation split original) | exact per-order integer identities with defect identically zero | FLAG(minor): N3 named open in-row
C-89 | EXACT | ASSEMBLED (Kitaev D(D_4) carrier standard; integer eigenspace-trace obstruction, discriminating abelian control, vacuity proof original) | exact integer computation at dim 4096, every verdict-bearing number re-derived independently; proxy scope stated in-row |
G-3 | DEFINED | BORROWED (ADM/Dirac constraint formulation is the cited warrant) | doctrinal reading of Gamma-as-ALLOW resting on GR's formulation | FLAG: DEFINED row at FORMAL; GROUNDED boilerplate mismatches a claim about Einstein's equations
G-4 | EXACT | ORIGINAL | Z2^(NV-1), abelian, structure constants exactly zero | FLAG(minor): ITEM phrased as a question; the claim lives only in EVIDENCE
G-5 | THEOREM | ASSEMBLED (H_1/intersection pairing standard Kitaev objects; R1-R3 candidacy assembly original) | satisfaction warranted by written Thms A, B, C; CANDIDATE scoping is the row's own |
G-8 | EXACT | ORIGINAL | residual 0 exactly, support 4*sqrt(|R|) exactly, all 14 rows — exact on specific lattices |
G-9 | EXACT | BORROWED (Kitaev — record space = Z_1/B_1 is the standard homological identification) | match rate 1.0 with dims computed exactly at three areas |
G-10 | EXACT | ASSEMBLED (2^dim H_1 standard F_2 homology [Wegner]; off-manifold carriers and 2-chi failure demo original) | exact degeneracy counts on 11 carriers, 6 self-checks |
G-13 | THEOREM | BORROWED (universal coefficients — standard algebraic topology; erratum correctly re-attributes) | general theorem replacing the too-strong Poincare-duality source |
G-14 | DEFINED | ORIGINAL | role-assignment consolidation — interpretive framing of proved parts | FLAG: DEFINED row at FORMAL
G-15 | DEFINED | ORIGINAL | explicit restatement of the condition plus import-audit decision to drop the growth requirement | FLAG: DEFINED row at FORMAL
G-16 | MEASURED | ORIGINAL | compression criterion validated on three carriers and 31/31 cycles after failing its fitted set (per D-11) — validated, not proved |
D-1 | DEFINED | ORIGINAL | methodological prohibition — cannot be true or false | FLAG: doctrine at FORMAL; GROUNDED "definition of proof" category-mismatches a rule
D-2 | DEFINED | ORIGINAL | naming/inference discipline | FLAG: doctrine at FORMAL
D-3 | DEFINED | ORIGINAL | maxim about rescues and imports | FLAG: doctrine at FORMAL
D-4 | DEFINED | ORIGINAL | allow/require type discipline; self-describes clauses as not-true-or-false | FLAG: doctrine at FORMAL — by its own logic the GROUNDED stamp cannot apply to it
D-5 | DEFINED | ORIGINAL | prohibition with TELL, resting on A-EM4 results but registered as a rule | FLAG: doctrine at FORMAL
D-6 | DEFINED | ASSEMBLED (unravelling non-uniqueness standard trajectory theory; void-verdict rule original) | warrant rule about the ensemble instrument | FLAG: doctrine at FORMAL
D-7 | DEFINED | ORIGINAL | process rule: every uncleared assumption gets a row | FLAG: doctrine at FORMAL
D-8 | DEFINED | ORIGINAL | check-validity rule with TELLs | FLAG: doctrine at FORMAL
D-9 | DEFINED | ORIGINAL | framing rule: mechanism, never external ranking | FLAG: doctrine at FORMAL
D-10 | DEFINED | ORIGINAL | tautology-detection rule (no failing branch = instrument check) | FLAG: doctrine at FORMAL
D-11 | DEFINED | ORIGINAL | out-of-fitted-set validation rule | FLAG: doctrine at FORMAL
D-12 | DEFINED | ORIGINAL | carrier-identity rule with TELL, resting on T-8's exact check but registered as procedure | FLAG: doctrine at FORMAL
D-13 | DEFINED | ORIGINAL | naming decision: alpha is a magnitude, explicitly an anti-import convention | FLAG: doctrine at FORMAL
D-14 | DEFINED | ORIGINAL | zero-of-the-named-object rule | FLAG: doctrine at FORMAL
D-15 | DEFINED | ORIGINAL | same-table control rule | FLAG: doctrine at FORMAL
D-16 | DEFINED | ORIGINAL | spread-control normalisation rule from the O-33a erratum | FLAG: doctrine at FORMAL
D-17 | DEFINED | ORIGINAL | vary-the-venue-scale rule | FLAG: doctrine at FORMAL
D-18 | DEFINED | ORIGINAL | vocabulary separation (record vs flux) plus checking procedure | FLAG: doctrine at FORMAL
D-19 | DEFINED | ORIGINAL | representational rule: compute signs over the integers | FLAG: doctrine at FORMAL
D-20 | DEFINED | ASSEMBLED (AICc/model-selection standard [Akaike]; noise-floor-knob rule original) | fitting doctrine | FLAG: doctrine at FORMAL
D-21 | DEFINED | ORIGINAL | tooling caution documenting a code defect; use character theory | FLAG: doctrine at FORMAL
D-22 | DEFINED | ORIGINAL | reading rule for separation nulls (underlying symmetry fact provable, row registered as caution) | FLAG: doctrine at FORMAL
D-23 | DEFINED | ORIGINAL | stipulated convention for 1D carriers, "a stipulation, not a measurement", decided by the principal | FLAG: doctrine at FORMAL; GROUNDED "established ... proof" contradicts the row's own word "stipulation"
F-0 | DEFINED | ORIGINAL | gap declaration — inventory of the register's own rows, not a physics claim | FLAG: meta-inventory row at FORMAL
F-1 | DEFINED | ORIGINAL | requirement specification for the RFP; evidence instantiates but ITEM is a spec | FLAG: requirement-spec row at FORMAL
F-6 | THEOREM | BORROWED (Knill-Laflamme — weight<d jumps act as scalars, hence blind on any unravelling) | general over unravellings by the KL argument; 6.3e-16 corroborates |
F-8 | THEOREM | ORIGINAL | one-line symmetry proof forcing <Zbar>=0; old falsifier withdrawn as this theorem's negation |
F-10 | DEFINED | ORIGINAL | a plan row ("NEXT ... Test 3 first"), resolved by F-12 — not a claim | FLAG: plan row at FORMAL — clearest status mismatch in the D/F/G range
F-11 | MEASURED | BORROWED (Knill-Laflamme — the row's own attribution) | prediction confirmed at d=2 only; row itself says scaling NOT tested | FLAG: tension with D-10 — threshold=d verifications were adjudicated instrument checks (F-24 withdrawn); check how much of F-11's warrant survives; see also O-10 which registers the general proof
F-12 | EXACT | ORIGINAL | sufficiency by explicit construction: one jump op drives <Zbar> to 0.997667 at code weight 1 — existence proof on a finite object |
F-13 | MEASURED | ASSEMBLED (clause (2) is Knill-Laflamme per the row; thermal-suffices correction original) | two-requirement characterisation grounded in O-11 numerics |
F-14 | THEOREM | ORIGINAL | general over ALL occupation functions of H alone (spectral argument), verified across five function classes |
F-15 | EXACT | ASSEMBLED (necessity is Knill-Laflamme; insufficiency counterexample original) | Zbar2 gives exactly 0 — exact counterexample on a specific carrier |
F-16 | MEASURED | ASSEMBLED (mechanism credited to Knill-Laflamme; discriminating experiment original) | 24 couplings <=7.2e-15 including four symmetry-breakers |
F-17 | EXACT | ORIGINAL | chi exactly 0 at weight 1 and 0.11448276 at weight 2, closed form exact |
F-18 | MEASURED | ORIGINAL | decoherence/record-arrow separation is numerical (I(S:B)=0.045 with chi=0) on one small system, generalised |
F-19 | THEOREM | BORROWED (standard quantum information — I(S:B) invariant under system-local unitaries) | textbook identity, corroborated at 3.7e-14 over 12 unitaries |
F-20 | EXACT | ASSEMBLED (conditional-evolution/copy mechanism standard measurement theory; exact checks on three carriers original) | warranted by exact commutation and constancy on the three specific carriers |
F-21 | MEASURED | ASSEMBLED (fragment redundancy quantum-Darwinism-style apparatus; threshold-in-fragments finding original) | bit counts 0.789/0.048/0.679 vs exact zero, small carriers, generalised |
F-22 | THEOREM | BORROWED (Knill-Laflamme — row derives the threshold from KL scalar action and says so) | general why-d argument; 0.00000000 fragment check corroborates |
F-26 | MEASURED | BORROWED (standard QEC — row's own concession "NOT OURS") | exponents 2.0000 vs ~3.0 on two d=3 codes; classification follows the concession |
F-27 | DEFINED | ORIGINAL | scope statement: the account has no agent, so eps^d is static-only — characterisation, not computation | FLAG: scoping row at FORMAL
F-28 | MEASURED | ORIGINAL | fragment spreads 0.0000 vs 1.247/1.329/1.391 growing with bath size — numerical, grounds the equivalent-fragments claim |
H-2 | DEFINED | ORIGINAL | vocabulary stipulation ("alpha" = generic coupling, not the fine structure constant) plus stated limitation; T-10's 28-setting sweep is support, not the registered content | FLAG: DEFINED/limitation row at FORMAL; embedded sweep is MEASURED
H-4 | MEASURED | ORIGINAL | the registered claim (results are not small-lattice artefacts) is a generalization inference from a robustness battery — 32 PASS across manifold, non-manifold and non-lattice carriers; remaining single-carrier scope stated | CROSSCHECK ADJUDICATION: lane 2 said MEASURED, lane 3 said EXACT; MEASURED stands — the PASS checks may be exact but the registered content is the inference from few carriers
H-9 | DEFINED | ORIGINAL | the H_ABCD criterion supplied by the principal before any measurement — pre-registered criterion definition | FLAG: DEFINED-criterion row at FORMAL; GROUNDED claims "established" where a criterion was stipulated
H-14 | DEFINED | ORIGINAL (GR vocabulary T_uv/g_uv borrowed as labels only) | the principal's decision assigning the triad to curvature/source/metric roles — a decision, not a computation | FLAG: DEFINED-decision row at FORMAL; GROUNDED boilerplate misfits a decision row
H-15 | EXACT | ASSEMBLED (link variable = connection, plaquette holonomy = lattice curvature — Wegner/Wilson; two-way independence computation original) | exact on the carrier: flat where records live, count 4 every sector, holonomy 1.00000 after a write |
O-2 | MEASURED | ASSEMBLED (first-order degenerate perturbation theory standard; slope=d on five codes original) | the row's own text: "measured, not proved" |
O-5 | DEFINED | ASSEMBLED (width/inverse-lifetime relation standard; clause-(ii) relaxation scheme original) | stipulates HOW clause (ii) relaxes — a tolerance convention, not a proved result | FLAG: DEFINED-convention row at FORMAL
O-8 | EXACT | ORIGINAL | exact commutator zeros establishing flat-connection availability on tested blocks | FLAG: "ALWAYS available" verified only to block dimension 8 — quantifier outruns the computation unless the register carries a proof
O-9 | MEASURED | ORIGINAL | lambda^2d scaling for summed single-site couplings measured on small carriers, exact-zero single-term control |
O-10 | THEOREM | ORIGINAL | EVIDENCE: threshold=d "now PROVED for every stabiliser code and every coupling", superseding the six-code measurement | FLAG: ITEM still reads "UNTESTED ... measured at d=2 only" — internal ITEM/EVIDENCE tension; retitle on registration
O-11 | EXACT | ASSEMBLED (mean-force Gibbs state from strong-coupling literature standard; F-13 clause-(1) contradiction exhibit original) | closed form agreeing to 7.2e-15 on a specific carrier |
O-12 | DEFINED | ORIGINAL | definitional repair — inserting "admissible" into clause (v) — with exhaustive counts (0 vs 1158/2.815e15) as confirmation | FLAG: definitional-repair row at FORMAL; if the computation is what is registered, it is EXACT — registrar's call
O-13 | MEASURED | ASSEMBLED (objectivity-via-redundancy, quantum Darwinism standard; fragment measurement, weight-1 zero original) | redundancy measured on a small bath, objectivity inferred |
O-14 | EXACT | ORIGINAL | explicit construction of the second carrier ([[8,1,2]], torus + capping disk, both distances 2) — instance-complete |
O-15 | MEASURED | ORIGINAL | recurrence dips measured across bath sizes to nq=7; the macroscopic claim remains an inference the row itself marks |
O-16 | MEASURED | ORIGINAL | fitted decay exponent 2.0000 vs static exponents 2.9979/2.9835 on two d=3 codes |
O-17 | EXACT | ORIGINAL | exact diagnosis: two arms on different (H,{L_k}); commutant dimension 1, scalars only |
O-18 | EXACT | ORIGINAL | chi=0.00000000 exactly under gauge invariance plus locality below d; PF-5 coupling fails at 32.0000 | FLAG(minor): general mechanism stated, verified on program carriers — check register for a written general proof
O-20 | MEASURED | ORIGINAL | criterion (chi>0 iff pairing odd) supported four-for-four — small-sample inference to a general criterion |
O-22 | EXACT | ORIGINAL | exact count 0 flippers vs 768 control at 3x3 one-plaquette; the two readings resolved as being about carriers, not the clause |
O-24 | EXACT | ORIGINAL | exact 0.000e+00 for minimal-weight writer, curvature costing exactly one extra site, overlap mechanism exhibited |
O-27 | EXACT | ORIGINAL | minimum-action writer computed flat, 4.4429=4pi/sqrt(2), holonomy 2.9e-15, every curved sample costlier |
O-29 | EXACT | ORIGINAL | exact counts: abelian 0/4 unchanged, S_3 18/36 changed, 54/216 order-dependent — confirmed-and-superseded, instance-complete |
O-30 | MEASURED | ASSEMBLED (random walks on finite groups mix — standard; T(k) instrument, 8/8 prediction match at orders 2-120 original) | convergence to the mixing limit measured across carriers; no-density-law negative inferred from that family |
O-31 | EXACT | ORIGINAL | topological invariance computed exactly (crossing number unmoved at 8x extent, fraction 1/(2g-1)); the verdict follows from invariance |
O-32 | MEASURED | ORIGINAL | chi falls 0.789366->0.081033 under crowding with unmoved control — grounds the capacity-ceiling claim |
O-35 | EXACT | ASSEMBLED (Kitaev D(G) standard; even-multiplicity obstruction, order-not-commutativity diagnosis original) | exact multiplicity computations on 7 carriers at two sizes | FLAG: "exactly when |G| is a power of two" inferred from five groups — outruns computed instances unless a parity proof exists
O-36 | EXACT | ASSEMBLED (character theory standard; transport-fixed-record question and D(D_8)/D(Z_3) controls original) | decided by character-theoretic argument on specific finite groups, consistency check on every eigenspace |
O-37 | MEASURED | ASSEMBLED (boundedness from C-48's Holevo bound, sign from Holevo concavity — standard; 27/27 crowding sign measurement original) | sign measured, accumulation route closed by the borrowed bound |
O-38 | MEASURED | ASSEMBLED (settlement via C-63's RKKY/Lindhard, Ising operator dimension 1/8 — standard; wrong-operator diagnosis, rescope original) | correlation lengths fitted on a 12-site chain with no verdict there; resolution routed through C-63 |
O-44 | EXACT | ORIGINAL | underlying finding is C-57's exact exhaustive search; the rehabilitation reverses the disposition, not the computation |
O-47 | EXACT | ORIGINAL | stands as the exact clause-(iv) fact (energy in correlations), corrected by O-48's exact results |
O-49 | DEFINED | ORIGINAL (the proper-arc reading is the standard QEC locality constraint, adopted by decision) | the row's own text: "a decision, not a measurement, and it is the principal's" | FLAG: DEFINED-decision row at FORMAL — the row itself says it cannot be settled by computation
O-51 | DEFINED | ORIGINAL | adoption of the amended clauses (i')-(v') with declared tolerances — a definition amendment | FLAG: DEFINED-definition row at FORMAL
