ID	PHASE	TASK	STATUS	DONE_WHEN	DEPENDS	ROW	ORDER	CRIT
T-17	F  WRITE AND CHECK THE PROOF	STATE THE LIMITS IN THE PROOF ITSELF. PF-6 failed; X-4, T-VI.3, T-VI.4 are BLOCKED; empirical contact is zero	TODO	the limits section names every BLOCKED row and says plainly that this is a mathematical result with no empirical contact	T-16		20	
T-18	F  WRITE AND CHECK THE PROOF	EXTERNAL CHECK. Someone outside the program reproduces the result from REPLICATE.md alone	BLOCKED	reproduce.sh passes end to end on a clean clone, and every headline number in PROOF_V002 is traceable to a sealed lane output	T-16, T-35	PF-8	21	yes
T-19	G  CONTINUOUS	THE GATE STAYS GREEN. on_finding.sh passes after every finding, for the life of the plan	DOING	the gate has passed on every commit since it was built			99	
T-23	E  THE CLAIM: DOES GRAVITY EMERGE?	IS THE CORRELATION ENERGY A SOURCE? O-47 exhibited an interaction energy between records that coexists with FREE single-record writes and costs no clause -- the first structure with a source's shape not paid for by breaking something. Test it against all five standards	DONE	the correlation energy is measured against extensive, additive, not-a-count, sign-definite and power-law-falloff; every verdict marked EXACT or TREND; and every effect labelled INSERTED or INDUCED	T-20	O-48	17	yes
T-24	E  THE CLAIM: DOES GRAVITY EMERGE?	CLAUSE (v) ON THE CARRIERS WHERE THE ENERGY LIVES. Protection was never tested in O-42, O-44 or O-47, nor anywhere in O-36 on the non-abelian carrier. Without it these are records in four clauses, not five	DONE	protection is checked on the correlation carriers and on D(D_4), with the contractible-region size swept, or it is stated plainly that these are four-clause records and every claim resting on them is scoped that way	T-23	O-41, O-48	17	yes
T-25	E  THE CLAIM: DOES GRAVITY EMERGE?	SETTLE WHAT ADMISSIBLE MEANS. DEF-A -- a unitary with [U,H] = 0 -- is marked PROVISIONAL on one carrier family, its physical-channel disjunct is UNTESTED, and clause (v) is stated with the same word so protection moves with it. O-44 showed it was briefly the sole support of the program's strongest negative result	TODO	either a definition is adopted and clauses (iv) and (v) are re-run under it on two carriers, or the framework states plainly that DEF-A is a CHOICE and names every row that turns on it		O-4, O-45	17	
T-26	E  THE CLAIM: DOES GRAVITY EMERGE?	RE-AUDIT EVERY REGISTERED NULL AGAINST THE VENUE RULE. Four measurements in one session were taken where the effect could not appear -- abelian carriers for a frame rotation, one-qubit bath sites for a capacity question, gauge-invariant states for transport, a non-degenerate H for a record. D-22 says a permutation-symmetric carrier has no geometry to detect at all	TODO	every registered null either cites the carrier's demonstrated capacity to show the effect -- a positive control in the same table -- or is rescoped to absence-within-range or absence-in-this-venue		D-15, D-17, D-22	17	
T-27	E  THE CLAIM: DOES GRAVITY EMERGE?	BRING PROCESS_V002 AND THE ANCHOR CURRENT. One session withdrew C-37 and C-55, rescoped C-29, C-30, C-32, C-33, C-36 and C-43, failed O-42, and reopened then reclosed O-4. The process document and the anchor sentence predate all of it	DONE	PROCESS_V002.md and the anchor cite no WITHDRAWN or FAILED row, every sentence traces to a live ledger row, and the anchor's claim about gravity matches what the ledger now says	T-23		17	
T-28	E  THE CLAIM: DOES GRAVITY EMERGE?	IMPLEMENT THE AMENDED DEFINITION IN THE MODEL. records(t_m) = slow Lindblad eigenmodes with |Re lambda| <= 1/t_m, and ADMISSIBLE(beta, W) as a smallest-bath-plus-one-ladder-site search in O-44's style. This is the one-move model change the census names	DONE	the model returns records under (i')-(v') with declared tolerances, and REPRODUCES the exact records on the three registered carriers in the t_m -> infinity, W -> 0 limit		O-51	17	yes
T-29	E  THE CLAIM: DOES GRAVITY EMERGE?	THE FIRST PROOF GROUNDED IN A WORLD RECORD: the HDD CoCrPt grain as an (H,{L_k}) two-state macrospin with Arrhenius jumps -- K_uV = 61 kT, tau = 2e17 s, splitting 0.007-7 kT, write head 5e-19 J. WARNING from the census: C-14's count law collapses to zero records under ANY well asymmetry, so the width-clustered quasi-degenerate multiplicity fix must be adopted FIRST or the run provably returns zero	DONE	the model takes the grain, returns its record under the amended clauses, and yields a number a physicist can check against published retention data	T-28	the census's named first grounded proof	17	yes
T-30	E  THE CLAIM: DOES GRAVITY EMERGE?	DOES THE GRAVITY-STRENGTH EXCLUSION SURVIVE AT FINITE TOLERANCE? Re-run C-52's trace-ratio computation on a METASTABLE record at declared tolerance. The Z[i] quantisation was proved over exact signed Paulis at tolerance zero; exclusions proved at tolerance zero do not automatically survive at finite tolerance. This single computation decides whether the exclusion was a theorem about the WORLD or about the corner	DONE	C-52 and C-53 restated at finite tolerance on a metastable carrier, with the verdict stated either way	T-28	O-51; the census's named adjudicator	17	yes
T-31	E  THE CLAIM: DOES GRAVITY EMERGE?	RE-RUN THE DEGENERACY-DEPENDENT GRAVITY CHAIN WITH ASYMMETRIC WELLS. C-14's count law k = min_E v_2(m_E) and the W-42/W-43/W-44/W-51 record-to-geometry chain depend on engineered degeneracy; under any well asymmetry the multiplicities collapse. The chain survives only if the record COUNT is insensitive to well-depth asymmetry -- an explicit re-check, not a presumption	DONE	the count law and the geometry chain are re-run with asymmetric wells and either survive with a stated tolerance or are withdrawn	T-28	O-51 cost accounting	17	
T-32	E  THE CLAIM: DOES GRAVITY EMERGE?	IS THE CONFIGURATION ENERGY OF REAL RECORDS A SOURCE? Test the five standards on written magnetic media rather than on the toy chain, with a demagnetised control	DONE	the five standards are scored on a real record with a control that would have failed them, and the verdict stated either way	T-30	C-71, C-72	17	yes
T-33	E  THE CLAIM: DOES GRAVITY EMERGE?	DOES THE CALCULATION AGREE WITH ANY RECORD SURFACE? Verify the record laws across structurally different mechanisms, with surfaces where they must NOT apply as controls	DONE	two laws verified on at least four mechanisms at machine precision, with at least one control where the model declines	T-29	C-69, C-70	17	yes
T-34	E  THE CLAIM: DOES GRAVITY EMERGE?	THE NAND SECOND MECHANISM -- solidity verdict: PROMOTE_AFTER_RESCOPE. Required before promotion: rescope C-71 to the encoding-level claim (NAND: net trapped charge, one sign for EVERY data pattern; magnetic: remanent moment under DC-saturation scope, real data tracks SCREEN -- the review measured ratio 0.00096 on random data); add the written-random-data row T-32 never ran; state the field-free quantity; fix the T-34 factor-2 and over-erase tolerance; replace the 1e-3 assertion with computed cross-terms	DONE	the solidity review returns a promotion verdict and C-71/C-72 are re-grounded with RECORDS VERIFIED naming both mechanisms, or the rescoped form is registered instead	T-32	C-71, C-72	17	yes
T-35	G  CONTINUOUS	REPRODUCTION DEBT from the external review: 13 nondeterministic scripts, a Terminated:15 full-run log, a garbled sealed output in LANE_EM_EXTENT, stale seals in LANE_F7_OCCUPANCY and model/, LANE_O5_ADVERSARIAL not standalone	TODO	reproduce.sh passes end to end on a clean run with zero DIFFERS, and every sealed output regenerates		PF-8	99	
T-36	A  MAKE IT LEGIBLE	DIFFERENTIATED RECLASSIFICATION of the 162 FORMAL rows -- THEOREM / EXACT / MEASURED / DEFINED with an OWNER field separating original from standard (Kitaev, KL, KLV, Holevo, RKKY) -- per the editor's verdict	DONE	every FORMAL row carries a class and an owner, and the ~20 standard-results restatements are marked BORROWED		external review	3	
T-37	E  THE CLAIM: DOES GRAVITY EMERGE?	STATE THE WORLD-LEVEL GAMMA CLAIM, FALSIFIABLY -- shape now fixed by the principal: SHARED ORIGIN (A-GR3) via BOUNDARY-SHAPING TERMS (A-GR4), under D-24 (each classical concept must earn its place) and the binding caveat that record-level measures may behave unlike their analogues elsewhere. Remaining: the statement itself, with its Gamma-side boundary measure defined in the record surface's own terms and the classical relation as recovery target at scale only	DONE	a falsifiable statement of the emergence claim is registered, agreed by the principal, with its test named	T-30, T-32	H-1	17	yes
T-38	D  CLOSE THE OPEN PHYSICS	ALPHA THROUGH THE BARRIER (reframed: an executable derivation plus the ownership audit, not an upfront decision). Derive how alpha's value enters the record laws -- every terrestrial E_b is an atomic-scale energy, and the Arrhenius exponent E_b/kT ~ 40-80 amplifies any alpha-dependence exponentially -- with the honest scaling per mechanism (bonds ~ alpha^2 m_e c^2 Hartree scale; anisotropy via spin-orbit at higher alpha powers; PVED weak-scale). Then the T-39 audit decides whether the resulting statement is ours or the varying-constants literature's. The principal reviews the registered result	TODO	either a registered statement of how alpha's value enters the record laws with its falsifier, or a plain statement that it does not	T-33	T-22, H-2	15	
T-39	F  WRITE AND CHECK THE PROOF	THE DISTINGUISHING-STATEMENT AUDIT (reframed 2026-08-20 per the principal: there is no choice here -- the surface and the literature decide, we record). Enumerate every falsifiable quantitative statement the machinery now makes -- k(t_m) with its underived-width caveat, the encoding-level ratio law, the certifiability-window law CERT_W = min(volume, W x min-cut), the thickness-protection profile, alpha-through-E_b -- and have EACH attacked by rival's advocates (decoherence/Darwinism, QEC/stabiliser theory, standard thermo/device physics and the varying-constants literature). What no rival can claim is registered as the prediction; if nothing survives, the program records plainly that it has none and T-17 states it in the proof	DONE	a registered distinguishing prediction with its falsifier, or a registered plain statement that the program has none	T-33	PF-6, H-5	18	yes
T-40	B  MAKE THE MODEL THE PROCESS MODEL	THE FULL-PROJECT MODEL (the principal, 2026-08-20: 'we need a model to work on that represents the full project'). One object: the amended definition with tolerances, the two PROVED laws, the formation step and source standards, the DEF-A corner reducing to record_model, and the roles -- with a validation that reproduces every sealed headline number	DONE	model/project_model.py + validate_project.py pass, reproducing the grain tau, the six-mechanism table, and the DEF-A limit dims from one entry point	T-28, T-29, T-33		8	yes
T-41	F  WRITE AND CHECK THE PROOF	EXTERNAL-DATA CONTACT (solidity debt 2). At least one lane whose table places a MEASURED number from outside the repo beside the model's number -- published CoCrPt/NAND retention, VSM remanence, programmed-page charge. Today every verification is the model against its own closed form and the principal's PROVED bar is met by NOTHING. Azobenzene is the cautionary case: the one row where a measured value existed disagreed by 5-6 orders	DONE	a sealed lane with an external measured datum beside the model's number, agreeing within stated tolerance, or the disagreement registered		solidity review	18	yes
T-42	E  THE CLAIM: DOES GRAVITY EMERGE?	THE DERIVATION INCREMENT (C-77's named test). Derive, from record-surface boundary structure alone, a scale-level relation matching a known gravitational one -- no classical form assumed. The concept with the most to earn first is DISTANCE: nothing at the record level has yet earned a notion of how far apart two records are except boundary-crossing structure. Theory work before lanes	DONE	either a derivation is registered that recovers a known gravitational relation from record-surface boundary structure without assuming it, or the failure mode is registered plainly per C-77's failure clause	T-37	C-77	17	yes
T-43	E  THE CLAIM: DOES GRAVITY EMERGE?	LET THE SURFACE ANSWER INTERFACE-VS-CONTENT (the principal's method, decision rule PRE-REGISTERED in the register). Compute the externally certifiable content of a region in both tiers and apply the rule as registered -- no post-hoc reading	DONE	the certifiability computation is run in both tiers with controls, the pre-registered rule is applied verbatim, and C-77's text carries the answer or the question returns to the principal	T-42	C-79	17	yes
T-44	E  THE CLAIM: DOES GRAVITY EMERGE?	WHICH FALLOFF EXPONENTS CAN A GAMMA-CONSTRAINED COUPLING REACH? The weighted-instrument lane: couple the exact w_min = d writer-cost landscape to a declared mediator and derive the reachable exponent class -- Gamma's corner codomain is integer-valued, so any smooth graded law must live in weighted coupling/alpha quantities. Until this runs, every decaying law in the record is INSERTED and no falloff exponent is earned. Plus: three-region composition (superposition vs screening) and the genus-proper w_min = d test	DONE	either a derived exponent class for Gamma-constrained couplings with its falsifier, or the obstruction to deriving one registered plainly	T-42	C-80, O-54	17	yes
T-45	E  THE CLAIM: DOES GRAVITY EMERGE?	THE SURFACE'S OWN CLOCK (done with T-43): certifiable-within-lifetime law, the corner as W=infinity, census crossovers honest	DONE	registered as C-83 with the rule's first branch fired surface-determinedly	T-43	C-83	17	
T-46	B  MAKE THE MODEL THE PROCESS MODEL	THE COMPREHENSIVE MODEL (the principal, 2026-08-20): fold the C-77 increment machinery -- earned distance d_W, interface rank and the boundary law, certifiability and the window law, the two-region taxonomy, the encoding-level formation laws -- into project_model as a first-class GEOMETRY layer, so record formation and every registered proof reproduce from ONE entry point rather than scattered lanes	DONE	validate_project reproduces every registered headline number of C-78, C-79, C-80, C-81, C-82, C-83 and the C-71/C-72 encoding laws from the ProjectModel API, each PASS gated against the sealed lane value	T-40	the goal's 'checked by anyone' clause	8	yes
T-47	F  WRITE AND CHECK THE PROOF	DERIVE THE CLUSTERING WIDTH FROM THE SURFACE'S OWN CLOCK (the audit's creator step). All three rivals share one structural gap: NO account owns a surviving-record COUNT law. C-76 killed k(t_m) because its width was chosen, not derived; the natural candidate is the same W = tau/t_epoch object that survived as S-1. A derived width would make k(t_m) the one wholly program-owned falsifiable count law, testable against record-census statistics exactly where it departs from Sharrock decay counting through the clustering term	DONE	either the width is derived from the surface's own machinery and k(t_m) registers with its falsifier, or the obstruction to deriving it is registered plainly	T-39	C-84, C-76	18	yes
T-48	E  THE CLAIM: DOES GRAVITY EMERGE?	WHAT EARNS CRITICALITY -- MASSLESSNESS AS MEASURE CONSERVATION (O-58 N2, the T-44 judge's ranked next piece). mu_c = 1/deg on every computed venue, and mu = 1/deg is exactly the stochastic measure-conserving normalization of one writer step. Compute from the record surface's OWN writer ensemble -- not a declared mu -- whether the induced per-link amplitude is the measure-conserving one. If Gamma's writer kernel conserves measure, mu = mu_c identically and masslessness is measure conservation, not tuning	DONE	either the surface's own writer ensemble is shown to induce the measure-conserving per-link amplitude (mu = mu_c structurally) with the computation sealed, or the obstruction is registered plainly -- with a control ensemble that does NOT conserve measure landing off criticality	T-44	O-58, C-90	17	yes
T-49	E  THE CLAIM: DOES GRAVITY EMERGE?	THE CONSERVATION BIT OF GR3 WRITING (the T-48 judge's ranked next piece; O-58 N2's residue merged into N3, stakes computed per branch). Formulate 'one GR3 writing event redistributes writer measure vs creates/destroys it' as a computable property of the writing tier, and decide which honest ensemble Gamma's actual writing dynamics enforces -- E1 transport (conserving, critical at every dE) / E2 trail-with-retreat / E3 trail-with-decay (massive by the closed-form gap). Deciding this decides masslessness. Companions ranked: the anisotropy frontier (does the D=3 1/d class survive biased-but-conserving ensembles); link indistinguishability forcing the weight measure symmetric; E2's spatial decay class at dE != 0	TODO	either the conservation property of one GR3 writing event is computed on the surface's own writing tier and the enforced ensemble named (deciding masslessness by C-91's identity), or the obstruction to formulating the bit computably is registered plainly	T-48	O-58, C-91	17	yes
T-50	F  WRITE AND CHECK THE PROOF	THE BASELINE-FREE OBSERVABLE FOR THE OCCUPANCY LAW (the principal's ruling, 2026-08-20: STOP TRYING TO RESCUE AN ABSOLUTE SINGLE-PAGE RATIO). C-72's registered PREDICTION -- ratio = 1 for every data pattern -- was an algebraic identity of scoring an erased cell as exactly zero, and its FALSIFIER's first clause is satisfied by the model's own +-5 e residual: rho = 0.968-0.980, pattern-dependent, so the row was falsified by its own model. The floor (N_E f - D(1-f))/(N_E f + D(1-f)) is CONFIRMED and tight; the measurement built on it was REFUTED by two independent refuters -- rho is not translation-free and needs V_t,neutral to better than the D it bounds, which is on no datasheet. THE DIRECTED REPAIR: formulate the prediction around a BASELINE-FREE DIFFERENTIAL observable -- the contrast between written and unwritten sectors of the SAME part in the SAME read, whose exponent in block size N separates the encodings (occupancy 1, orientation 1/2 in |Q|; equivalently 2 vs 1 in <Q^2>). THREE CONSTRAINTS THE REGISTRAR COMPUTED AND THE REPAIR MUST HONOUR, or it repeats the defect in a new costume: (1) THE RAW EXPONENT IS NOT BASELINE-FREE -- a common-mode offset of 0.5 e/cell, one two-hundredth of the programmed charge, drives the ORIENTATION exponent from 0.493 to 0.999 and makes a screening surface look like an accumulating one; only the written-minus-unwritten contrast survives it, holding at 0.999 at every offset tested. The contrast is what makes it baseline-free, the exponent is what makes it untunable, and they are not alternatives. (2) CENTRED VARIANCE DISCRIMINATES NOTHING -- Var(Q) scales as N for BOTH encodings (measured N^0.97 and N^1.00); the discriminating statistic is E|Q| or the UNCENTRED <Q^2>. (3) THE PROGRAMMED DENSITY MUST BE HELD FIXED in the definition -- a fixed-length record in a growing block gives occupancy the orientation exponent (fitted -0.572, -0.889, -0.878), which is refuter A's counterexample returning	TODO	BOTH: (a) a rescoped PREDICTION and FALSIFIER for C-72 on a baseline-free differential observable, surviving two independent refuters attacking runnability on a real instrument -- or a registered statement that the occupancy law has no runnable form and C-72 rescoped to what does; AND (b) THE GATE HARDENED BEFORE C-72 RETURNS TO PROVED (the principal's ruling): the structural-claim check must fail at a rate of 1.000 under an adversarial mutation suite, not the 0.18 the widens check measures today; the suite covers at least the two-signed write, a non-zero-mean residual, and a programmed density falling with N; and control A is repaired or dropped, its equality half being incapable of failing at any tolerance		C-72	19	
T-51	E  THE CLAIM: DOES GRAVITY EMERGE?	THE FIELD-SIDE INSTRUMENT (O-39, and it is the row that decides whether the emergence claim can ever be PROVED rather than exhibited). EVERY LANE IN THIS PROGRAM HAS MEASURED A SOURCE; NONE HAS MEASURED A FIELD. spread(Phi) has units of energy and Var(Phi) of energy squared, and nothing in any probe connects either to a metric, a connection or a deflection. O-39 states plainly that NO AMOUNT OF N CLOSES THIS -- it needs a geometry-side observable, at minimum a two-lump induced energy as a function of separation. A field is not a property of a source: it is what a TEST OBJECT feels. So the instrument must be a probe placed AWAY from written content whose OWN earned quantities are read as a function of separation, with the unwritten surface as the positive control. D-1 binds absolutely: no classical gravitational form may be required of, or used as the test for, anything measured here -- not a falloff exponent, not a metric, not a geodesic. D-24 binds: whatever geometry-side concept the instrument uses must be EARNED on the record surface, as distance already was at C-78. Identify the instrument, then build it	TODO	either a field-side observable is defined on the record surface, computed on a written configuration against an unwritten positive control, and registered with its falsifier -- or the obstruction to defining one is registered plainly, in which case the program states that its emergence claim is exhibitable and not provable and T-17 carries that sentence		O-39	17	
T-52	C  BREAK THE SINGLE CARRIER	EXTEND THE T-9 CARRIER AUDIT TO THE POST-AUDIT ROWS. The audit's discipline -- default SINGLE-CARRIER, an adversarial refuter required to confirm every TWO-CARRIER claim on structurally different carriers -- covered the 146 FORMAL/PROVED/MEASURED rows that existed when it ran. Rows registered since carry no mark and print UNAUDITED, which is not a mark: C-90 and C-91 are the emergence chain's newest and most load-bearing results and are unaudited, and C-88 is SINGLE-CARRIER, so the chain's head stands on one venue. Audit every FORMAL/PROVED/MEASURED row registered after the T-9 landing under the same method (LANE_T9_AUDIT/METHOD.md), append the verdicts to the same TSV, and adopt the standing rule that a newly registered row in those statuses is audited AT REGISTRATION so the debt cannot re-accumulate	DONE	every FORMAL, PROVED and MEASURED row in the ledger carries a T-9 verdict in LANE_T9_AUDIT/T9_carrier_audit.tsv -- no UNAUDITED remains in those statuses -- and the registration rule is stated in METHOD.md			12	
T-53	D  CLOSE THE OPEN PHYSICS	WHY THIS DEFINITION (H-3 made a task instead of a standing caveat). The amended clauses (i')-(v') were adopted because ~20 real records failed the exact clauses and all pass amended -- a mechanism-level justification (the world protects by barriers, the exact clauses assume topology, O-16 measured the mismatch from inside), but still a definition ADJUSTED UNTIL THE WORLD PASSED IT. 145 FORMAL rows and every world-tier claim inherit this. What would earn the definition: (1) UNIQUENESS -- show the amended clauses are the weakest natural relaxation of DEF-A that admits the census, or exhibit an inequivalent rival relaxation that also admits it and state what discriminates; (2) NECESSITY of each clause -- for each of (i')-(v'), a real or constructed surface that fails ONLY that clause and demonstrably fails to function as a record; (3) NO-TUNING -- show the declared tolerance tuple carries no dial that was fitted to the census. Any one earns it partially; state which were run and what happened	TODO	either the amended definition is earned under at least one of the three standards with the computation registered, or H-3's caveat is promoted into PROOF_V002's limits section as a permanent scope on every world-tier claim, in T-17's language		H-3	15	
